enunciado,area
"
QUESTÃO 01
Sentimos que toda satisfação de nossos desejos 
advinda do mundo assemelha-se à esmola que mantém 
hoje o mendigo vivo, porém prolonga amanhã a sua 
fome. A resignação, ao contrário, assemelha-se à 
fortuna herdada: livra o herdeiro para sempre de todas 
as preocupações.
SCHOPENHAUER, A. Aforismo para a sabedoria da vida. São Paulo: Martins Fontes, 2005.
O trecho destaca uma ideia remanescente de uma 
se mostra indissociavelmente ligada à
A consagração de relacionamentos afetivos.
B administração da independência interior.
C fugacidade do conhecimento empírico. 
D liberdade de expressão religiosa. 
E busca de prazeres efêmeros.",ciências humanas
"
QUESTÃO 02
Batizado por Tancredo Neves de “Nova República”, 
o período que marca o reencontro do Brasil com os 
governos civis e a democracia ainda não completou 
seu quinto ano e já viveu dias de grande comoção. 
Começou com a tragédia de Tancredo, seguiu pela 
euforia do Plano Cruzado, conheceu as depressões da 
na movimentação que antecede as primeiras eleições 
diretas para presidente em 29 anos.
O álbum dos presidentes: a história vista pelo JB. Jornal do Brasil, 15 nov. 1989.
O período descrito apresenta continuidades e rupturas 
em relação à conjuntura histórica anterior. Uma dessas 
continuidades consistiu na
A representação do legislativo com a fórmula do 
bipartidarismo.
B detenção de lideranças populares por crimes de 
subversão.
C presença de políticos com trajetórias no regime 
autoritário.
D prorrogação das restrições advindas dos atos 
institucionais.
E estabilidade da economia com o congelamento anual 
de preços.",ciências humanas
"
QUESTÃO 03
Os moradores de Andalsnes, na Noruega, poderiam 
se dar ao luxo de morar perto do trabalho nos dias úteis e 
E sem sair da mesma casa. Bastaria achar uma vaga 
para estacionar o imóvel antes de curtir o novo endereço.
Disponível em: http://casavogue.globo.com. Acesso em: 3 out. 2015 (adaptado).
Uma vez implementada, essa proposta afetaria a 
dinâmica do espaço urbano por reduzir a intensidade do 
seguinte processo:
A Êxodo rural.
B Movimento pendular.
C Migração de retorno.
D Deslocamento sazonal.
E Ocupação de áreas centrais.",ciências humanas
"
QUESTÃO 04
O Rio de Janeiro tem projeção imediata no próprio 
estado e no Espírito Santo, em parcela do sul do estado 
da Bahia, e na Zona da Mata, em Minas Gerais, onde 
      
a rede urbana do Rio de Janeiro, entre outras cidades: 
Vitória, Juiz de Fora, Cachoeiro de Itapemirim, Campos 
dos Goytacazes, Volta Redonda - Barra Mansa, Teixeira 
de Freitas, Angra dos Reis e Teresópolis.
Disponível em: http://ibge.gov.br. Acesso em: 9 jul. 2015 (adaptado).
O conceito que expressa a relação entre o espaço 
apresentado e a cidade do Rio de Janeiro é:
A Frente pioneira.
B Zona de transição.
C Região polarizada.
D Área de conurbação.
E Periferia metropolitana.



CH - 1º dia | Caderno 1 - AZUL - Página 3
*AZUL75SAB3*",ciências humanas
"
QUESTÃO 05
TEXTO I
Documentos do século XVI algumas vezes se 
referem aos habitantes indígenas como “os brasis”, 
ou “gente brasília” e, ocasionalmente no século 
XVII, o termo “brasileiro” era a eles aplicado, mas as 
referências ao status econômico e jurídico desses 
eram muito mais populares. Assim, os termos “negro 
da terra” e “índios” eram utilizados com mais frequência 
do que qualquer outro.
SCHWARTZ, S. B. Gente da terra braziliense da nação. Pensando o Brasil: a construção de 
um povo. In: MOTA, C. G. (Org.). Viagem incompleta: a experiência brasileira (1500-2000). 
São Paulo: Senac, 2000 (adaptado).
TEXTO II
Índio é um conceito construído no processo de 
conquista da América pelos europeus. Desinteressados 
pela diversidade cultural, imbuídos de forte preconceito 
para com o outro, o indivíduo de outras culturas, 
espanhóis, portugueses, franceses e anglo-saxões 
terminaram por denominar da mesma forma povos tão 
díspares quanto os tupinambás e os astecas.
SILVA, K. V.; SILVA, M. H. Dicionário de conceitos históricos. São Paulo: Contexto, 2005.
Ao comparar os textos, as formas de designação dos 
grupos nativos pelos europeus, durante o período 
analisado, são reveladoras da
A concepção idealizada do território, entendido como 

B percepção corrente de uma ancestralidade comum às 
populações ameríndias.
C compreensão etnocêntrica acerca das populações 
dos territórios conquistados.
D transposição direta das categorias originadas no 
imaginário medieval.
E        
riqueza.",ciências humanas
"
QUESTÃO 06
Ser ou não ser — eis a questão.
Morrer — dormir — Dormir! Talvez sonhar. Aí está o obstáculo!
Os sonhos que hão de vir no sono da morte 
Quando tivermos escapado ao tumulto vital

Que dá à desventura uma vida tão longa.
SHAKESPEARE, W. Hamlet. Porto Alegre: L&PM, 2007.
Este solilóquio pode ser considerado um precursor do 
existencialismo ao enfatizar a tensão entre
A consciência de si e angústia humana.
B inevitabilidade do destino e incerteza moral.
C tragicidade da personagem e ordem do mundo.
D racionalidade argumentativa e loucura iminente.
E dependência paterna e impossibilidade de ação.",ciências humanas
"
QUESTÃO 07
TEXTO I 
Tradução: “As mulheres do futuro farão da Lua um
 lugar mais limpo para se viver”.
Disponível em: www.propagandashistoricas.com.br. Acesso em: 16 out. 2015.
TEXTO II 
Metade da nova equipe da Nasa 
é composta por mulheres
Até hoje, cerca de 350 astronautas americanos 
já estiveram no espaço, enquanto as mulheres não 
chegam a ser um terço desse número. Após o anúncio 
da turma composta 50% por mulheres, alguns internautas 
escreveram comentários machistas e desrespeitosos 
sobre a escolha nas redes sociais.
Disponível em: https://catracalivre.com.br. Acesso em: 10 mar. 2016.
A comparação entre o anúncio publicitário de 1968 e a 
repercussão da notícia de 2016 mostra a
A 
B 
C ambição de indústrias patrocinadoras.
D manutenção de estereótipos de gênero.
E equiparação de papéis nas relações familiares.



CH - 1º dia | Caderno 1 - AZUL - Página 4
*AZUL75SAB4*",ciências humanas
"
QUESTÃO 08
A África Ocidental é conhecida pela dinâmica das 
suas mulheres comerciantes, caracterizadas pela perícia, 
autonomia e mobilidade. A sua presença, que fora 
atestada por viajantes e por missionários portugueses que 
visitaram a costa a partir do século XV, consta também na 
ampla documentação sobre a região. A literatura é rica 
em referências às grandes mulheres como as vendedoras 
ambulantes, cujo jeito para o negócio, bem como a 
autonomia e mobilidade, é tão típico da região.
HAVIK, P. Dinâmicas e assimetrias afro-atlânticas: a agência feminina e representações em 
mudança na Guiné (séculos XIX e XX). In: PANTOJA, S. (Org.). Identidades, memórias e 
histórias em terras africanas. Brasília: LGE; Luanda: Nzila, 2006.
A abordagem realizada pelo autor sobre a vida social da 
África Ocidental pode ser relacionada a uma característica 
marcante das cidades no Brasil escravista nos séculos 
XVIII e XIX, que se observa pela
A restrição à realização do comércio ambulante por 
africanos escravizados e seus descendentes.
B convivência entre homens e mulheres livres, de 
diversas origens, no pequeno comércio.
C presença de mulheres negras no comércio de rua de 
diversos produtos e alimentos.
D dissolução dos hábitos culturais trazidos do continente 
de origem dos escravizados.
E entrada de imigrantes portugueses nas atividades 
ligadas ao pequeno comércio urbano.",ciências humanas
"
QUESTÃO 09
Quanto mais complicada se tornou a produção 
industrial, mais numerosos passaram a ser os elementos 
da indústria que exigiam garantia de fornecimento.
Três deles eram de importância fundamental: o trabalho, 
a terra e o dinheiro. Numa sociedade comercial, esse 
fornecimento só poderia ser organizado de uma forma: 
tornando-os disponíveis à compra. Agora eles tinham que 
ser organizados para a venda no mercado. Isso estava 
de acordo com a exigência de um sistema de mercado. 
Sabemos que em um sistema como esse, os lucros só 
podem ser assegurados se se garante a autorregulação 
por meio de mercados competitivos interdependentes.
POLANYI, K. A grande transformação: as origens de nossa época.
 Rio de Janeiro: Campus, 2000 (adaptado). 
A 
consequência 
do 
processo 
de 
transformação 
socioeconômica abordado no texto é a
A expansão das terras comunais.
B limitação do mercado como meio de especulação.
C consolidação da força de trabalho como mercadoria.
D diminuição do comércio como efeito da industrialização.
E adequação do dinheiro como elemento padrão 
das transações.",ciências humanas
"
QUESTÃO 10
O que ocorreu na Bahia de 1798, ao contrário das 
outras situações de contestação política na América 
portuguesa, é que o projeto que lhe era subjacente 
não tocou somente na condição, ou no instrumento, da 
integração subordinada das colônias no império luso. 
Dessa feita, ao contrário do que se deu nas Minas Gerais 
(1789), a sedição avançou sobre a sua decorrência.
JANCSÓ, I.; PIMENTA, J. P. Peças de um mosaico. In: MOTA, C. G. (Org.). Viagem incompleta:
a experiência brasileira (1500-2000). São Paulo: Senac, 2000.
A diferença entre as sedições abordadas no texto 
encontrava-se na pretensão de
A eliminar a hierarquia militar.
B abolir a escravidão africana. 
C anular o domínio metropolitano.
D suprimir a propriedade fundiária.
E extinguir o absolutismo monárquico.



CH - 1º dia | Caderno 1 - AZUL - Página 5
*AZUL75SAB5*",ciências humanas
